Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,135.5,-34.7,180.0,bottom
C2,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,124.5,-35.6,0.0,bottom
C3,4.7uF,C_0805_2012Metric,134.9,-40.6,-90.0,top
C4,4.7uF,C_0805_2012Metric,136.9,-35.4,90.0,top
C5,1uF,C_0603_1608Metric,141.0,-35.7,0.0,top
C6,0.1uF,C_0603_1608Metric,141.0,-34.2,0.0,top
C7,2.2uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,132.6,-41.4,-135.0,top
C8,2.2uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,120.9,-46.5,0.0,top
C9,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,140.714585,-44.529909,180.0,top
C11,10uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,138.6,-52.0,90.0,top
C12,10uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,118.3,-47.6,90.0,top
C13,10uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,118.3,-50.0,90.0,top
C14,10uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,138.4,-44.5,0.0,top
C15,10uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,130.6,-41.2,45.0,top
C16,10uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,120.7,-47.7,180.0,top
C17,4.7uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,122.0,-52.9,135.0,top
C18,0.1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,121.2,-53.7,-45.0,top
C19,4.7uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,141.6606,-51.3097,0.0,top
C20,4.7uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,124.2,-42.2,-45.0,top
C21,4.7uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,131.2,-58.8,-90.0,top
C22,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,128.5,-44.0,270.0,bottom
C23,47uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,124.3,-34.2,0.0,bottom
C24,47uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,124.3,-36.9,0.0,bottom
C25,100p,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,141.5,-43.5,180.0,top
C26,4.7uF,C_0805_2012Metric,145.5,-41.5,90.0,top
D1,D_TVS,D_SMA,138.5,-47.5,90.0,bottom
D2,LED,LED_0402_1005Metric,144.1,-39.7,-90.0,top
D3,LED,LED_0402_1005Metric,147.2,-36.9,-90.0,top
D4,LED,LED_0402_1005Metric,135.8,-59.0,-135.0,top
D5,D_Small,D_SOD-323F,117.5,-56.0,270.0,bottom
D6,B340,D_SMA,146.2,-46.9,90.0,top
J1,USB_B_Micro,USB_Micro-B_XKB_U254-051T-4BH83-F1S,114.75,-49.5,90.0,bottom
J2,Conn_01x08_Socket,JST_SH_SM08B-SRSS-TB_1x08-1MP_P1.00mm_Horizontal,129.75,-35.25,180.0,top
L1,22uH,L_Vishay_IFSC-1515AH_4x4x1.8mm,145.3055,-53.22,0.0,top
R1,10k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,120.2,-55.0,180.0,top
R2,10k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,136.0,-54.3,135.0,top
R3,1k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,145.0,-36.9,-90.0,top
